date,all_calls,inbound_calls,outbound_calls,voicemails,missed,abandoned,forwarded,cancelled,minutes,acd,inbound_minutes,outbound_minutes,callbacks_requested,callbacks_completed,callbacks_cancelled,callbacks_connected,callbacks_unconnected,missed_voicemails,other_voicemails,missed_transferred,asa,handled,answered,answered_transferred,message,spam,in_queue_voicemail,dtmf_voicemail,direct_to_voicemail,transfer_voicemail,outbound_connected,connected_transferred,transferred_out,transferred_in,dtmf_transfer,auto_transfer,router_transfer,forward_transfer,timezone,ringing_duration,avg_ringing_duration,hold_duration,avg_hold_duration,talk_duration,avg_talk_duration,queued_duration,avg_queued_duration,callback_agent_missed_rejected,direct_callback_agent_missed_rejected,direct_callback_cancelled,scripted_ivr_transfer,average_percent_ai_talk_time,total_voicemails,unresolved_voicemails,resolved_voicemails,avg_voicemail_handle_time_minutes,avg_voicemail_assignment_time_minutes,avg_time_open_minutes
2026-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-31,278,5,273,0,1,0,0,82,62.6,0.3,2.5,60.1,0,0,0,0,0,0,0,0,0.3,195,4,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,Canada/Pacific,1.09,0.22,0,0,62.56,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-01,220,14,206,1,7,0,0,60,48.5,0.3,4.6,43.9,0,0,0,0,0,1,0,0,0.2,153,7,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,Canada/Pacific,3.56,0.25,0,0,48.37,0.32,0,0,0,0,0,0,0.3,3,3,0,0,0,5923.3
2026-09-02,221,10,211,1,6,2,0,57,53.4,0.3,1.2,52.1,0,0,0,0,0,1,0,0,0.3,156,2,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,Canada/Pacific,2.51,0.25,0,0,53.39,0.34,0,0,0,0,0,0,0,3,3,0,0,0,4579.4
2026-09-03,217,9,208,0,2,0,0,73,43.3,0.3,8.3,34.9,0,0,0,0,0,0,0,0,0.2,142,7,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,Canada/Pacific,1.84,0.2,0,0,43.34,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-04,100,6,94,0,3,0,0,32,17.8,0.3,2.2,15.6,0,0,0,0,0,0,0,0,0.2,65,3,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,Canada/Pacific,1.89,0.32,0,0,17.79,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
